language,category,exam_type,name,content,plan
Chinois,肌肉骨骼,Radiographie conventionnelle,膝盖 X 光检查（评估膝关节病）,"临床指征： 
膝盖疼痛评估。寻找膝关节病。

 影像技术： 
根据标准视图拍摄的膝盖 X 射线：负载面部、侧面、髌股路径和 Schuss。
双边研究（右和左）。

 影像所见： 

骨骼结构：
骨骼结构的排列令人满意。没有骨折或急性骨损伤。矿化保存完好。

联合线：
股骨-胫骨和股骨-髌骨空间的高度得到尊重，没有明显的挤压。

关节表面：
没有可见的骨关节炎变化（无骨赘增生、无晶洞、无软骨下凝结）。

软体部分：
关节周围软组织未见异常。
没有可见的关节内积液。

 影像诊断： 
膝盖的放射线外观没有支持关节病的证据。
没有可检测到的骨骼或关节异常。",free
Chinois,胸部,Radiographie conventionnelle,胸部 X 光检查,"临床指征： 
评估有待澄清。

 影像技术： 
胸部 X 光检查，采用正面观（后前位），站立位，深吸气。

 影像所见： 

肺野：肺透明度正常。无肺泡炎、结节或可疑间质综合征。

胸膜：无胸腔积液（游离胸膜死腔）或脏层胸膜脱离（无气胸）。

纵隔：正常大小和形态的心脏轮廓。纵隔的生理宽度。正常密度海尔。

包含：骨骼框架的完整性（肋骨、锁骨、脊柱）。软部或膈穹顶无异常。

 影像诊断： 
胸部 X 线检查正常：无进行性胸膜肺、实质或纵隔异常。",free
Chinois,大脑的,Scanner,脑部扫描仪（本地）,"临床指征： 
[待完成]
 影像技术： 
未注射造影剂进行检查 
 影像所见： 
天幕楼层：
- V4 中位数。
- 脑干和小脑实质没有密度异常。
- 基础坦克是免费的。
上脑幕层：
- 脑实质不存在密度异常。
- 心室系统形态正常。
- 中间结构已就位。
 影像诊断： 
 CT大脑无异常。",free
Chinois,胸部,Scanner,胸部扫描,"临床指征： 
[根据临床要求指定]
 影像技术： 
在不注射造影剂的情况下进行胸部体积采集。
 影像所见： 
纵隔和心脏窗口：
气管及近端支气管：未见异常，游离气管支气管树。
心脏和心包：心脏大小正常，无心包积液。
淋巴结：纵隔-肺门、实质、腋窝或锁骨上水平无明显腺肿大。
大血管：外观正常，无明显异常；无肺栓塞迹象（由于缺乏造影剂而受到限制）。
胸膜实质窗：
肺实质：密度正常，无小气道异常或卡压迹象。
结节和病变：没有可疑或正在演变的结节。
胸腔积液：无。
骨窗：
胸部骨骼：没有可疑病变。
其他元素：
上腹部：部分探查，不专一。
膈肌：未检测到膈下淋巴结。
 影像诊断： 
 CT 正常胸椎。
无可疑的实质、胸膜或淋巴结病变。",free
Chinois,腹部和骨盆,Scanner,腹部骨盆扫描,"临床指征： 
[待完成]
 影像技术： 
螺旋采集与薄片重建，无需静脉注射碘造影剂即可进行。
 影像所见： 
实体器官：
肝脏：正常大小和形态。自发密度均匀，无需注射即可观察到局灶性病变。
脾脏、胰腺、肾上腺：形态外观正常，无自发大小或密度异常。
肾脏和泌尿道：无致密结石或肾盂局部扩张。膀胱就位，壁薄。
胆管和血管：
胆管：肝内或肝外管无扩张。
胆囊：体积正常，无不透射线的结石。
血管：主动脉和大血管具有正常口径（前提是没有对比）。
其他结构：
淋巴结：无明显淋巴结肿块（腺肿大）。
空洞：无腹腔积液或气腹。
消化道：无肉眼可见的壁扩张或增厚。
胸基底部和骨骼：无基底胸膜肺异常。没有可疑的骨病变。
 影像诊断： 
腹部骨盆扫描，无需注射正常造影剂。",free
Coreen,근골격계,Radiographie conventionnelle,무릎 X-레이(임신증 평가),"임상 적응증: 
무릎에 대한 고통스러운 평가. 임질증을 검색해 보세요.

 검사 방법: 
표준 보기(하중 얼굴, 프로필, 슬개대퇴 경로 및 Schuss)에 따라 촬영한 무릎 엑스레이.
양측 연구(오른쪽 및 왼쪽).

 영상 소견: 

뼈 구조:
뼈 구조의 만족스러운 정렬. 골절이나 급성 뼈 손상이 없습니다. 광물화가 보존됩니다.

조인트 라인:
큰 압박 없이 대퇴 경골 및 대퇴 슬개골 공간의 높이를 존중합니다.

관절면:
눈에 보이는 골관절염 변화의 부재(골증식증 없음, 측지선 없음, 연골하 응축 없음).

부드러운 부품:
관절주위 연조직 이상이 없습니다.
눈에 보이는 관절내 삼출이 없습니다.

 결론: 
생식선증에 유리한 증거가 없는 무릎의 방사선 사진 소견.
감지 가능한 뼈 또는 관절 이상이 없습니다.",free
Coreen,흉부,Radiographie conventionnelle,흉부 엑스레이,"임상 적응증: 
평가를 명확히 해야 합니다.

 검사 방법: 
정면(후-전방), 기립 자세, 깊은 흡기 상태에서 촬영한 흉부 X선 사진입니다.

 영상 소견: 

폐장: 정상적인 폐 투명성. 폐포염, 결절 또는 의심되는 간질성 증후군이 없습니다.

흉막: 흉막 삼출의 부재(자유 흉막 막힘) 또는 내장 흉막의 박리(기흉 없음).

종격동: 정상적인 크기와 형태의 심장 모양. 생리적 폭의 종격동. 일반 밀도 파일.

포함: 뼈 구조(갈비뼈, 쇄골, 척추)의 무결성. 부드러운 부분이나 횡격막 큐폴라에 이상이 없습니다.

 결론: 
정상 흉부 엑스레이: 진행성 흉막폐, 실질 또는 종격동 이상이 없습니다.",free
Coreen,대뇌,Scanner,뇌 스캐너(기본),"임상 적응증: 
[완료예정]
 검사 방법: 
조영제 주사 없이 검사 진행 
 영상 소견: 
천막 층:
- V4 중앙값.
- 뇌간 및 소뇌 실질의 밀도 이상이 없습니다.
- 기본 탱크는 무료입니다.
상위 임시 수준:
- 뇌 실질의 밀도 이상이 없습니다.
- 심실계는 정상적인 형태이다.
- 중앙 구조물이 설치되어 있습니다.
 결론: 
 CT 뇌에는 이상이 없습니다.",free
Coreen,흉부,Scanner,흉부 스캔,"임상 적응증: 
[임상 요구에 따라 지정됨]
 검사 방법: 
조영제 주입 없이 흉부 부피 획득을 수행했습니다.
 영상 소견: 
종격 및 심장 창:
기관 및 근위 기관지: 이상 없음, 기관기관지 트리가 자유로움.
심장 및 심낭: 심장 크기가 정상이고 심낭 삼출이 없습니다.
림프절: 종격동, 실질, 겨드랑이 또는 쇄골상부 수준에 심각한 선종대가 없습니다.
대형 혈관: 외관상 정상이며 눈에 띄는 이상이 없습니다. 폐색전증의 징후가 없습니다(조영제가 없어서 제한됨).
흉막실질 창:
폐 실질(Lung parenchyma): 작은 기도 이상이나 포착 징후가 없는 정상적인 밀도.
결절 및 병변: 의심스럽거나 진화하는 결절은 없습니다.
흉막삼출: 없음.
뼈 창:
흉부 골격: 의심스러운 병변이 없습니다.
기타 요소:
상복부: 부분 탐색, 전용이 아님.
횡격막: 횡경막하 림프절이 감지되지 않았습니다.
 결론: 
 CT 정상 흉부.
의심스러운 실질, 흉막 또는 림프절 병변이 없습니다.",free
Coreen,복부와 골반,Scanner,복부골반 스캔,"임상 적응증: 
[완료예정]
 검사 방법: 
요오드화 조영제의 정맥 주사 없이 얇은 단면 재구성을 통한 나선형 획득.
 영상 소견: 
고형 기관:
간: 정상적인 크기와 형태. 균질한 자연 밀도, 주사 없이는 국소 병변이 보이지 않습니다.
비장, 췌장, 부신: 자연스러운 크기나 밀도 이상 없이 정상적인 형태학적 외관.
신장 및 요로: 치밀한 결석이나 신우의 확장이 없습니다. 방광은 제자리에 있고 벽이 얇습니다.
담관 및 혈관:
담관: 간내 또는 간외관이 확장되지 않습니다.
담낭: 방사선 불투과성 결석증이 없는 정상 용적.
혈관: 대동맥과 대형 혈관의 구경은 정상입니다(대비가 없는 경우).
기타 구조:
림프절: 뚜렷한 림프절 종괴(샘비대증)가 없습니다.
충치: 복막 삼출 또는 기복막이 없습니다.
소화관: 육안으로 볼 때 벽이 확장되거나 두꺼워지지 않습니다.
흉부 기저부 및 뼈: 기저 흉막폐 기형 없음. 의심스러워 보이는 뼈 병변이 없습니다.
 결론: 
일반 조영제 주입 없이 복부골반 스캔.",free
Danois,Muskuloskeletale,Radiographie conventionnelle,Røntgenbilleder af knæ (vurdering af gonarthrose),"Klinisk indikation: 
Smertefuld vurdering af knæene. Søg efter gonarthrose.

 Billedteknik: 
Røntgenbilleder af knæene taget i henhold til standardvisninger: belastet ansigt, profil, patellofemoral vej og Schuss.
Bilateral undersøgelse (højre og venstre).

 Fund: 

Knoglestrukturer:
Tilfredsstillende tilpasning af knoglestrukturer. Fravær af brud eller akut knogleskade. Mineralisering bevaret.

Fælleslinjer:
Højden af lårbens-skinnebens- og femoro-patellarummet respekteres uden væsentlig klemning.

Artikulære overflader:
Fravær af synlige slidgigtforandringer (ingen osteofytose, ingen geoder, ingen subkondral kondensation).

Bløde dele:
Ingen periartikulær abnormitet i blødt væv.
Fravær af synlig intraartikulær effusion.

 Konklusion: 
Radiografisk udseende af knæene uden bevis til fordel for gonarthrose.
Fravær af påviselig knogle- eller ledabnormitet.",free
Danois,Thorax,Radiographie conventionnelle,Røntgen af ​​thorax,"Klinisk indikation: 
Vurdering skal afklares.

 Billedteknik: 
Røntgen af thorax taget set forfra (postero-anterior), i stående stilling og med dyb inspiration.

 Fund: 

Lungefelter: Normal lungegennemsigtighed. Fravær af alveolitis, nodule eller mistænkeligt interstitielt syndrom.

Pleura: Fravær af pleural effusion (fri pleura cul-de-sac) eller løsrivelse af den viscerale pleura (ingen pneumothorax).

Mediastinum: Hjertesilhuet af normal størrelse og morfologi. Mediastinum af fysiologisk bredde. Normal tæthed hiles.

Indeholder: Integritet af knoglestrukturen (ribben, kraveben, rygsøjle). Fravær af abnormitet i bløddelene eller diafragmatiske kupoler.

 Konklusion: 
Normal røntgen af thorax: fravær af progressiv pleuropulmonal, parenkymal eller mediastinal abnormitet.",free
Danois,Cerebral,Scanner,Hjernescanner (native),"Klinisk indikation: 
[Skal udfyldes]
 Billedteknik: 
Undersøgelse udført uden injektion af Kontraststof 
 Fund: 
Tentorial etage:
- V4 median.
- Fravær af densitetsabnormitet i hjernestammen og cerebellar parenkym.
- Basistankene er frie.
Øvre tentorial niveau:
- Fravær af tæthedsabnormiteter i hjernens parenkym.
- Det ventrikulære system er af normal morfologi.
- Medianstrukturerne er på plads.
 Konklusion: 
 CT hjerne uden abnormitet.",free
Danois,Thorax,Scanner,Brystscanning,"Klinisk indikation: 
[Skal specificeres i henhold til klinisk anmodning]
 Billedteknik: 
Volumenoptagelse af thorax udført uden injektion af kontrastmiddel.
 Fund: 
Mediastinalt og hjertevindue:
Trachea og proksimale bronkier: Ingen abnormitet, frit tracheobronchialt træ.
Hjerte og hjertesække: Normal hjertestørrelse, uden perikardiel effusion.
Noder: Fravær af signifikant adenomegali på mediastino-hilar, parenkymalt, aksillært eller supraclavikulært niveau.
Store kar: Normalt udseende, uden synlige abnormiteter; ingen tegn på lungeemboli (begrænset af fravær af kontrast).
Pleuroparenkymalt vindue:
Lungeparenkym: Normal tæthed, uden små luftvejsabnormiteter eller tegn på indespærring.
Noduler og læsioner: Ingen mistænkelige eller udviklende knuder.
Pleural effusion: Fraværende.
Knoglevindue:
Thoraxskelet: Fravær af mistænkelig læsion.
Andre elementer:
Øvre mave: Delvis udforskning, ikke dedikeret.
Diafragma: Ingen subdiafragmatiske lymfeknuder påvist.
 Konklusion: 
 CT normal thorax.
Ingen mistænkelige parenkymale, pleurale eller lymfeknudelæsioner.",free
Danois,Mave og bækken,Scanner,Skanning af mavebækken,"Klinisk indikation: 
[Skal udfyldes]
 Billedteknik: 
Spiralopsamling med tyndsektionsrekonstruktioner, udført uden intravenøs injektion af joderet kontrastprodukt.
 Fund: 
Faste organer:
Lever: Normal størrelse og morfologi. Homogen spontan tæthed, uden fokal læsion synlig uden injektion.
Milt, bugspytkirtel, binyrer: Normalt morfologisk udseende, uden spontan unormal størrelse eller tæthed.
Nyrer og urinveje: Ingen tæt tandsten eller udvidelse af de pyelocaliciale hulrum. Blæren på plads, tyndvægget.
Galdekanaler og kar:
Galdegange: Ingen udvidelse af intra- eller ekstrahepatiske kanaler.
Galdeblære: Normal volumen, uden røntgenfast lithiasis.
Kar: Aorta og store kar har en normal kaliber (forudsat at der ikke er kontrast).
Andre strukturer:
Noder: Fravær af tydelig lymfeknudemasse (adenomegali).
Hulrum: Fravær af peritoneal effusion eller pneumoperitoneum.
Fordøjelseskanalen: Ingen makroskopisk vægudvidelse eller fortykkelse.
Thoracale baser og knogler: Ingen basal pleuropulmonal anomali. Ingen mistænkeligt udseende knoglelæsioner.
 Konklusion: 
Abdominopelvic scanning uden injektion af normalt kontrastmateriale.",free
Espagnol,musculoesquelético,Radiographie conventionnelle,Radiografías de rodillas (evaluación de gonartrosis),"Indicación clínica: 
Valoración dolorosa de las rodillas. Busque gonartrosis.

 Técnica de imagen: 
Radiografías de rodillas tomadas según proyecciones estándar: cara cargada, perfil, trayecto patelofemoral y Schuss.
Estudio bilateral (derecha e izquierda).

 Hallazgos: 

Estructuras óseas:
Alineación satisfactoria de las estructuras óseas. Ausencia de fractura o lesión ósea aguda. Mineralización preservada.

Líneas conjuntas:
Se respeta la altura de los espacios femoro-tibial y femoro-patelar, sin pellizcos significativos.

Superficies articulares:
Ausencia de cambios osteoartríticos visibles (sin osteofitosis, sin geodas, sin condensación subcondral).

Partes blandas:
Sin anomalías de los tejidos blandos periarticulares.
Ausencia de derrame intraarticular visible.

 Impresión: 
Aspecto radiológico de las rodillas sin evidencia a favor de gonartrosis.
Ausencia de anomalías óseas o articulares detectables.",free
Espagnol,Tórax,Radiographie conventionnelle,Radiografía de tórax,"Indicación clínica: 
Valoración por aclarar.

 Técnica de imagen: 
Radiografía de tórax tomada en vista frontal (postero-anterior), en posición de pie y con inspiración profunda.

 Hallazgos: 

Campos pulmonares: transparencia pulmonar normal. Ausencia de alveolitis, nódulo o síndrome intersticial sospechoso.

Pleura: Ausencia de derrame pleural (callejón sin salida pleural libre) o desprendimiento de la pleura visceral (sin neumotórax).

Mediastino: silueta cardíaca de tamaño y morfología normales. Mediastino de ancho fisiológico. Hileras de densidad normal.

Contiene: Integridad de la estructura ósea (costillas, clavículas, columna). Ausencia de anomalía de las partes blandas o cúpulas diafragmáticas.

 Impresión: 
Radiografía de tórax normal: ausencia de anomalía pleuropulmonar, parenquimatosa o mediastínica progresiva.",free
Espagnol,Cerebral,Scanner,Escáner cerebral (nativo),"Indicación clínica: 
[Por completar]
 Técnica de imagen: 
Examen realizado sin inyección de Medio de contraste 
 Hallazgos: 
Piso tentorial:
- V4 mediana.
- Ausencia de anomalía de densidad del tronco encefálico y parénquima cerebeloso.
- Los tanques base son gratuitos.
Nivel tentorial superior:
- Ausencia de anomalías de densidad del parénquima cerebral.
- El sistema ventricular es de morfología normal.
- Las estructuras medianas están en su lugar.
 Impresión: 
 TC cerebro sin anormalidad.",free
Espagnol,Tórax,Scanner,exploración de tórax,"Indicación clínica: 
[A especificar según solicitud clínica]
 Técnica de imagen: 
Adquisición de volumen del tórax realizada sin inyección de producto de contraste.
 Hallazgos: 
Ventana mediastínica y cardíaca:
Tráquea y bronquios proximales: Sin anomalías, árbol traqueobronquial libre.
Corazón y pericardio: Corazón de tamaño normal, sin derrame pericárdico.
Ganglios: Ausencia de adenomegalia significativa a nivel mediastino-hiliar, parenquimatoso, axilar o supraclavicular.
Vasos grandes: Aspecto normal, sin anomalía visible; sin signos de embolia pulmonar (limitado por la ausencia de contraste).
Ventana pleuroparenquimatosa:
Parénquima pulmonar: Densidad normal, sin pequeñas anomalías de las vías respiratorias ni signos de atrapamiento.
Nódulos y lesiones: No hay nódulos sospechosos ni en evolución.
Derrame pleural: Ausente.
Ventana ósea:
Esqueleto torácico: Ausencia de lesión sospechosa.
Otros elementos:
Abdomen superior: Exploración parcial, no dedicada.
Diafragma: No se detectaron ganglios linfáticos subdiafragmáticos.
 Impresión: 
 TC torácica normal.
Sin lesiones sospechosas parenquimatosas, pleurales o ganglionares.",free
Espagnol,abdomen y pelvis,Scanner,Exploración abdominopélvica,"Indicación clínica: 
[Por completar]
 Técnica de imagen: 
Adquisición helicoidal con reconstrucciones de sección delgada, realizada sin inyección intravenosa de producto de contraste yodado.
 Hallazgos: 
Órganos sólidos:
Hígado: Tamaño y morfología normales. Densidad espontánea homogénea, sin lesión focal visible sin inyección.
Bazo, páncreas, suprarrenales: Aspecto morfológico normal, sin anomalías espontáneas de tamaño o densidad.
Riñones y vías urinarias: Sin cálculos densos ni dilatación de las cavidades pielcaliciales. Vejiga en su lugar, paredes delgadas.
Conductos y vasos biliares:
Conductos biliares: Sin dilatación de los conductos intra o extrahepáticos.
Vesícula biliar: Volumen normal, sin litiasis radiopacas.
Vasos: La aorta y los grandes vasos tienen un calibre normal (siempre que no haya contraste).
Otras estructuras:
Ganglios: Ausencia de masa ganglionar evidente (adenomegalia).
Caries: Ausencia de derrame peritoneal o neumoperitoneo.
Tracto digestivo: Sin dilatación ni engrosamiento macroscópico de la pared.
Bases y huesos torácicos: Sin anomalía pleuropulmonar basal. Sin lesiones óseas de aspecto sospechoso.
 Impresión: 
Exploración abdominopélvica sin inyección de material de contraste normal.",free
Filipino,Musculoskeletal,Radiographie conventionnelle,X-ray ng mga tuhod (pagsusuri ng gonarthrosis),"Indikasyong klinikal: 
Masakit na pagtatasa ng mga tuhod. Maghanap para sa gonarthrosis.

 Teknik ng imaging: 
X-ray ng mga tuhod na kinunan ayon sa mga karaniwang view: load face, profile, patellofemoral path at Schuss.
Bilateral na pag-aaral (kanan at kaliwa).

 Resulta: 

Mga istruktura ng buto:
Kasiya-siyang pagkakahanay ng mga bony structure. Kawalan ng bali o matinding pinsala sa buto. Napanatili ang mineralization.

Mga magkasanib na linya:
Iginagalang ang taas ng femoro-tibial at femoro-patellar space, nang walang makabuluhang pagkurot.

Artikular na ibabaw:
Kawalan ng nakikitang mga pagbabago sa osteoarthritic (walang osteophytosis, walang geodes, walang subchondral condensation).

Malambot na bahagi:
Walang peri-articular soft tissue abnormality.
Kawalan ng nakikitang intra-articular effusion.

 Konklusyon: 
Radiographic na hitsura ng mga tuhod na walang ebidensya na pabor sa gonarthrosis.
Kawalan ng nakikitang abnormalidad ng buto o kasukasuan.",free
Filipino,Thorax,Radiographie conventionnelle,X-ray ng dibdib,"Indikasyong klinikal: 
Pagtatasa upang linawin.

 Teknik ng imaging: 
Chest x-ray na kinunan sa harap (postero-anterior), sa nakatayong posisyon at may malalim na inspirasyon.

 Resulta: 

Mga patlang ng baga: Normal na transparency ng baga. Kawalan ng alveolitis, nodule o kahina-hinalang interstitial syndrome.

Pleura: Kawalan ng pleural effusion (libreng pleural cul-de-sac) o detachment ng visceral pleura (walang pneumothorax).

Mediastinum: Cardiac silhouette ng normal na laki at morpolohiya. Mediastinum ng physiological width. Normal na mga burol sa density.

Naglalaman ng: Integridad ng bony framework (ribs, clavicles, spine). Kawalan ng abnormalidad ng malambot na bahagi o diaphragmatic cupolas.

 Konklusyon: 
Normal na x-ray ng dibdib: kawalan ng progresibong pleuropulmonary, parenchymal o mediastinal abnormality.",free
